,0,1,2,3,class
3,53.77024739583337,10676.811131591794,-0.00815972222222222,1048.1218542914498,no_dust
4,41.86019021739131,8784.984781152949,0.0060986024844720405,948.2423867988165,no_dust
5,59.61313330564782,11551.367289536183,0.002325581395348839,1058.5128095255402,no_dust
6,17.37546992481203,4017.1271616541344,0.006710526315789474,703.4361778430451,no_dust
7,45.0654233870968,9260.330296433967,2.0161290322578873e-05,841.5036459887427,no_dust
8,41.68703934262948,8744.174031802477,0.0034885458167330623,811.6552065783734,no_dust
9,1.9255887681159427,484.96646781589675,0.0041243961352657,325.5509533250301,no_dust
10,5.350891113281249,1313.120322990417,-0.0052661132812499975,372.0288973159793,no_dust
11,7.251893153526973,1778.5020464859947,-0.003801867219917016,396.20227253306547,no_dust
12,17.8493130387931,4155.0910404179,-0.004692887931034479,447.21289153758073,no_dust
13,6.306081081081083,1449.6407962943406,-0.005011261261261268,173.9664380841779,no_dust
14,53.039693509615404,10363.318587834285,-0.005465745192307691,931.2720693378152,no_dust
15,0.0,0.0,0.022500000000000003,422.54747526041666,no_dust
16,0.0,0.0,0.008666666666666668,284.5000890104167,no_dust
17,0.6729166666666666,169.39802734375,0.015833333333333328,542.7148088541667,no_dust
18,,,,,no_dust
19,5.644291516245488,1316.6014635040613,-0.0076150722021660665,211.77331721429377,no_dust
20,0.8733749999999999,220.13350136718753,-0.007037499999999997,122.05724018750004,no_dust
21,0.9626250000000002,242.72816484375016,-0.0008374999999999996,148.7206437109375,no_dust
22,4.133125,1021.2033084161925,-0.0078106060606060665,223.36975566761353,no_dust
23,,,,,no_dust
24,,,,,no_dust
25,,,,,no_dust
26,,,,,no_dust
27,,,,,no_dust
28,,,,,no_dust
29,,,,,no_dust
30,,,,,no_dust
31,3.7734574468085094,930.4400876828458,-0.002928191489361701,218.7943052343749,no_dust
32,,,,,no_dust
33,,,,,no_dust
34,,,,,no_dust
35,6.811255296610167,1621.7923393637448,0.0018908898305084753,171.74721680018547,no_dust
36,30.435337677725112,6778.8153204606015,0.005998222748815167,584.3515284897068,no_dust
37,32.15616812227074,7105.673648079281,-0.0006195414847161546,587.6009448502319,no_dust
38,,,,,no_dust
39,,,,,no_dust
40,,,,,no_dust
41,1.2887392241379312,324.7453079539331,0.003653017241379309,235.65188201778008,no_dust
42,1.4396874999999998,363.3844794921875,-0.0018680555555555557,88.81076227864585,no_dust
43,1.4892,375.2621198437499,0.003055000000000001,65.94898167812497,no_dust
44,0.4325892857142858,109.60752371651783,0.0037797619047619047,98.37087561383926,no_dust
45,0.0,0.0,0.0005208333333333332,16.431296549479168,no_dust
46,,,,,no_dust
47,0.3673214285714286,92.89237332589286,0.0030833333333333325,132.4004121949405,no_dust
48,,,,,no_dust
49,,,,,no_dust
50,87.84007457386359,14662.429031150125,0.013449928977272709,1665.279496978203,no_dust
51,83.77688953488371,14317.80888490191,0.011062661498708017,1574.194923455669,no_dust
52,81.74448832417578,14130.311133295412,0.02383756868131868,1651.023002512233,no_dust
53,86.6390253957784,14559.924453614565,-0.0008806068601583102,1815.737532808377,no_dust
54,,,,,no_dust
55,,,,,no_dust
56,,,,,no_dust
57,,,,,no_dust
58,,,,,no_dust
59,,,,,no_dust
60,,,,,no_dust
61,,,,,no_dust
62,,,,,no_dust
63,,,,,no_dust
64,,,,,no_dust
65,,,,,no_dust
66,,,,,no_dust
67,,,,,no_dust
68,,,,,no_dust
69,,,,,no_dust
70,,,,,no_dust
71,0.20131578947368423,51.12162828947368,0.018684210526315793,235.46982393092102,no_dust
72,,,,,no_dust
73,,,,,no_dust
74,,,,,no_dust
75,,,,,no_dust
76,,,,,no_dust
77,,,,,no_dust
78,,,,,no_dust
79,,,,,no_dust
80,,,,,no_dust
81,,,,,no_dust
82,,,,,no_dust
83,87.52789999999999,14638.386004687503,0.008464999999999993,1026.6371318447916,no_dust
84,77.8637946428572,13748.747023577009,0.007907142857142859,829.8251229263385,no_dust
85,89.41773998618791,14795.374950767222,-0.006869820441988953,1072.5023029944318,no_dust
86,0.0,0.0,-0.00125,48.4337484375,no_dust
87,,,,,no_dust
88,,,,,no_dust
89,,,,,no_dust
90,,,,,no_dust
91,,,,,no_dust
92,,,,,no_dust
93,,,,,no_dust
94,,,,,no_dust
95,,,,,no_dust
96,,,,,no_dust
97,,,,,no_dust
98,,,,,no_dust
99,,,,,no_dust
100,0.0,0.0,-0.0028125,114.2313873046875,no_dust
101,,,,,no_dust
102,0.056919642857142856,14.469151088169642,0.0018749999999999997,79.64348978794644,no_dust
103,0.0,0.0,-0.04875,324.2301234375,no_dust
104,0.0,0.0,-0.0775,221.29899375,no_dust
105,1.1510416666666665,284.2557714843749,-0.016527777777777784,292.9199124131944,no_dust
106,0.6375,161.18071874999998,0.015375,223.00641882812496,no_dust
107,0.0,0.0,0.010833333333333334,113.85275442708333,no_dust
108,0.9064453125,228.87815734863278,0.006445312500000005,205.5439399169922,no_dust
109,0.0,0.0,0.0018749999999999988,105.29436054687501,no_dust
110,,,,,no_dust
111,0.0,0.0,0.059375,97.175849609375,no_dust
112,0.0,0.0,-0.0005624999999999998,16.0282019140625,no_dust
113,,,,,no_dust
114,0.0,0.0,-0.013125,4.064202734375,no_dust
115,,,,,no_dust
116,,,,,no_dust
117,,,,,no_dust
118,,,,,no_dust
119,0.0,0.0,0.0584375,115.05329225260418,no_dust
120,,,,,no_dust
121,,,,,no_dust
122,,,,,no_dust
